companyName,latestPrice,description,industry,primaryExchange
SPX Corp.,34.59,"SPX Corp. is the supplier of infrastructure equipment and products. It operates through the following segments: HVAC, Detection and Measurement, and Engineered Solutions. The HVAC segment engineers, designs, manufactures installs and services cooling products for the HVAC and industrial markets, as well as heating and ventilation products for the residential and commercial markets. The Detection & Measurement segment engineers, designs, manufactures and installs underground pipe and cable locators and inspection equipment, bus fare collection systems, communication technologies, and specialty lighting. The Engineered Solutions segment engineers, designs, manufactures, installs and services transformers for the power transmission and distribution market, as well as process cooling equipment and rotating and stationary heat exchangers for the power generation and industrial markets. The company was founded on December 20, 1911 and is headquartered in Charlotte, NC.",Industrial Conglomerates,New York Stock Exchange
SPDR Dow Jones Industrial Average ETF Trust,236.91,"SPDR Dow Jones Industrial Average ETF Trust is exchange traded fund. Its investment objective is to provide investment results before expenses correspond generally to the price and yield performance. The company is headquartered in New York, NY.",Investment Trusts/Mutual Funds,NYSE Arca
