name,price,year5ChangePercent,year2ChangePercent,year1ChangePercent,ytdChangePercent,month6ChangePercent,month3ChangePercent,month1ChangePercent,day30ChangePercent,day5ChangePercent
iShares 20+ Year Treasury Bond ETF,166.71,0.3711,0.4218,0.326147,0.216772,0.207956,0.145458,-0.019872,-0.010623,0.024647
iShares 1-3 Year Treasury Bond ETF,86.68,0.0211,0.043,0.03031,0.023739,0.022652,0.020605,0,0.000693,0.000577
